Mobile_Name,Memory,Screen_Size,Camera,Battery,Processor,Warranty,Rating & Reviews,Selling_Price,Discount
"Infinix Smart 6 (Starry Purple, 64 GB)",2 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display,8 MP + Depth Lens | 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio A22 Processor,1 Year on Handset and 6 Months on Accessories,"32,766 Ratings&2,207 Reviews","₹8,998",N/A
KARBONN K24+,Expandable Upto 16 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1600 mAh Battery,1 Year Manufacturer Warranty,1 Year Manufacturer Warranty,"4,416 Ratings&442 Reviews","₹1,280",14% off
Snexian BOLD 1K,32 MB RAM | 32 MB ROM,3.66 cm (1.44 inch) NA Display,1.3MP Rear Camera,800 mAh Battery,1 Year Manufacturer warranty.,1 Year Manufacturer warranty.,179 Ratings&10 Reviews,₹999,33% off
itel it2163S,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,1200 mAh Lithium Ion Battery,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,12 + 1 Month Warranty,"1,096 Ratings&100 Reviews","₹1,039",27% off
Snexian BOLD 1K,32 MB RAM | 32 MB ROM,3.66 cm (1.44 inch) NA Display,1.3MP Rear Camera,800 mAh Battery,1 Year Warranty,1 Year Warranty,179 Ratings&10 Reviews,₹950,36% off
"vivo T1X (Gravity Black, 128 GB)",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories,"5,495 Ratings&338 Reviews","₹14,999",21% off
"vivo T1X (Space Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories,"5,495 Ratings&338 Reviews","₹14,999",21% off
"IAIR 2G Dual Sim Big Battery Camera, Video Recording, FM GSM Feature Phone",32 GB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.8MP Rear Camera,2800 mAh Battery,1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,63 Ratings&10 Reviews,"₹1,597",27% off
"vivo T1X (Space Blue, 128 GB)",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories,"93,512 Ratings&5,312 Reviews","₹12,999",27% off
Nokia 3310 DS 2020,16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,2MP Rear Camera,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"35,884 Ratings&3,610 Reviews","₹4,389",4% off
"IQOO Z6 Lite 5G (Without Charger) (Mystic Night, 64 GB)",4 GB RAM | 64 GB ROM,16.97 cm (6.68 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year,1 Year,765 Ratings&53 Reviews,"₹14,995",6% off
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,50 MP + Depth Lens | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Unisoc T616 Processor,1 Year on Handset and 6 Months on Accessories,"11,344 Ratings&690 Reviews","₹9,999",28% off
